pmid,geneId,diseaseId,label
10022417,2798,C562785,1
10022458,367,D013734,1
10022756,10,D001749,1
10024302,3784,D029597,1
10025794,3553,D009103,1
10025794,3557,D009103,1
10027593,6927,D003924,1
10027710,2160,D005173,1
10029606,212,C536761,1
10036316,411,D009087,1
10049523,3553,D003928,1
10050867,672,D010051,1
10051017,5308,C537884,1
10051160,5728,D006223,1
10051604,5824,D015211,1
10053004,4338,C565373,1
10053008,1244,D007566,1
10069705,7249,C566021,1
10071100,2705,C535919,1
10072423,5071,D020734,1
10072428,999,D013274,1
10072428,999,D015179,1
10075388,596,D006973,1
10077519,3784,D029593,1
10079291,933,D008180,1
10080178,488,D007644,1
10080184,9241,C536943,1
10082481,4882,D006973,1
10084318,3849,D053560,1
10084598,6927,D003924,1
10089893,2811,D001606,1
10090345,4843,D009203,1
10090472,4221,D018761,1
10090474,158,C538235,1
10090484,3949,D006938,1
10090526,2717,D000795,1
10090529,3784,D008133,1
10090885,355,D056735,1
10092513,9370,D009765,1
10094187,6197,D038921,1
10094189,4669,D009084,1
10099885,1636,D003928,1
10099885,1636,D007676,1
10102298,6017,C564392,1
10102299,6017,C562733,1
10190266,4524,D009436,1
10190325,3141,D028922,1
10192380,4901,D012174,1
10195814,2559,D000437,1
10195814,2566,D000437,1
10196694,5660,C562609,1
10197076,1493,D000224,1
10198369,3479,D007676,1
10201536,3858,D017488,1
10203975,5621,D016098,1
10204114,3767,D044903,1
10204841,546,C538258,1
10205247,338,D006973,1
10205262,3081,D000474,1
10205266,2700,C566608,1
10205268,367,D001943,1
10206080,1565,D008180,1
10206233,7436,D000544,1
10206237,7533,D012559,1
10206677,686,D028921,1
10206678,411,D009087,1
10206679,3667,D003924,1
10206825,4128,D006501,1
10206825,4842,D006501,1
10206825,706,D006501,1
10208443,4524,D012559,1
10208564,348,D000544,1
10208576,2643,C538007,1
10208848,2717,D000795,1
10211478,5376,D015417,1
10213152,348,D000544,1
10213175,348,D000544,1
10214944,4137,D057180,1
10215410,2261,C562937,1
10215411,3423,D016532,1
10219239,9992,D008133,1
10219239,9992,D014693,1
10220141,5805,C535325,1
10220152,3423,D016532,1
10220154,2592,D005693,1
10220155,2705,C535919,1
10220498,3845,D003110,1
10220506,182,D016738,1
10220507,6891,D006526,1
10221692,367,D013734,1
10221770,367,D013734,1
10223192,1499,D000236,1
10223192,596,D000236,1
10223192,596,D003110,1
10223192,1499,D007414,1
10223192,596,D007414,1
10223196,3845,D008175,1
10224407,3578,D001249,1
10227647,1743,D000544,1
10229804,4068,D008232,1
10231340,4846,D009203,1
10231446,6513,D007674,1
10231640,4318,D001014,1
10232408,1294,C535956,1
10233369,3077,D054556,1
10233432,3690,D013915,1
10234007,2705,C535919,1
10234502,5728,D006223,1
10234611,2581,D007965,1
10319582,999,D013274,1
10319589,538,D007706,1
10319897,5354,C536857,1
10319897,5354,D020371,1
10320038,1200,D000544,1
10320038,1200,D009472,1
10323252,2010,D020389,1
10323455,1234,D001172,1
10329380,1815,D012559,1
10330339,1200,C566857,1
10330340,825,C535895,1
10331110,1312,D009771,1
10331951,7439,D057826,1
10332047,1041,D011565,1
10333056,6833,D003924,1
10333087,886,D009765,1
10335546,6310,D012559,1
10338091,2328,C536561,1
10339581,3373,C563209,1
10340396,5617,D000740,1
10341858,190,C536757,1
10343282,3295,D015211,1
10344739,7421,D001943,1
10351920,1636,D029424,1
